identifier	precursor_charge	precursor_mz	retention_time	cluster	filename	scan
mzspec:USI000000:EK_Q_07:scan:5293	3	613.981750488281	29.178296	4400	EK_Q_07.mzML	5293
mzspec:USI000000:EK_Q_07:scan:5303	2	795.445678710938	29.25263	2860	EK_Q_07.mzML	5303
mzspec:USI000000:EK_Q_07:scan:5308	2	478.780670166016	29.288705	609	EK_Q_07.mzML	5308
mzspec:USI000000:EK_Q_07:scan:5309	2	501.239959716797	29.297532	790	EK_Q_07.mzML	5309
mzspec:USI000000:EK_Q_07:scan:5310	2	781.882263183594	29.306376	2789	EK_Q_07.mzML	5310
mzspec:USI000000:EK_Q_07:scan:5315	3	352.561767578125	29.351124	3523	EK_Q_07.mzML	5315
mzspec:USI000000:EK_Q_07:scan:5319	2	341.746887207031	29.377478	33	EK_Q_07.mzML	5319
mzspec:USI000000:EK_Q_07:scan:5321	3	622.970520019531	29.391601	4430	EK_Q_07.mzML	5321
mzspec:USI000000:EK_Q_07:scan:5325	2	485.782501220703	29.426924	670	EK_Q_07.mzML	5325
mzspec:USI000000:EK_Q_07:scan:5329	3	562.292236328125	29.450799	4228	EK_Q_07.mzML	5329
mzspec:USI000000:EK_Q_07:scan:5331	2	513.309265136719	29.466172	913	EK_Q_07.mzML	5331
mzspec:USI000000:EK_Q_07:scan:5334	3	439.237060546875	29.487599	3791	EK_Q_07.mzML	5334
mzspec:USI000000:EK_Q_07:scan:5336	2	554.275573730469	29.50408	1238	EK_Q_07.mzML	5336
mzspec:USI000000:EK_Q_07:scan:5342	2	476.280242919922	29.543334	586	EK_Q_07.mzML	5342
